"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type","Source"
"Journal Article","Monda JK,Whitney IP,Tarasovetc EV,Wilson-Kubalek E,Milligan RA,Grishchuk EL,Cheeseman IM","Microtubule tip tracking by the spindle and kinetochore protein Ska1 requires diverse tubulin-interacting surfaces","Curr. Biol.","Current biology: CB","2017","27","23","3666-3675.e6","","2017-12-04","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2017.10.018;https://www.ncbi.nlm.nih.gov/pubmed/29153323;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5726585","10.1016/j.cub.2017.10.018","29153323","PMC5726585","The macromolecular kinetochore functions to generate interactions between chromosomal DNA and spindle microtubules [1]. To facilitate chromosome movement and segregation, kinetochores must maintain associations with both growing and shrinking microtubule ends. It is critical to define the proteins and their properties that allow kinetochores to associate with dynamic microtubules. The kinetochore-localized human Ska1 complex binds to microtubules and tracks with depolymerizing microtubule ends [2]. We now demonstrate that the Ska1 complex also autonomously tracks with growing microtubule ends in vitro, a key property that would allow this complex to act at kinetochores to mediate persistent associations with dynamic microtubules. To define the basis for Ska1 complex interactions with dynamic microtubules, we investigated the tubulin-binding properties of the Ska1 microtubule binding domain. In addition to binding to the microtubule lattice and dolastatin-induced protofilament-like structures, we demonstrate that the Ska1 microtubule binding domain can associate with soluble tubulin heterodimers and promote assembly of oligomeric ring-like tubulin structures. We generated mutations on distinct surfaces of the Ska1 microtubule binding domain that disrupt binding to soluble tubulin but do not prevent microtubule binding. These mutants display compromised microtubule tracking activity in vitro and result in defective chromosome alignment and mitotic progression in cells using a CRISPR/Cas9-based replacement assay. Our work supports a model in which multiple surfaces of Ska1 interact with diverse tubulin substrates to associate with dynamic microtubule polymers and facilitate optimal chromosome segregation.","chromosome segregation; kinetochore; microtubule; mitosis; tubulin","","Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA.; Department of Physiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104, USA; Center for Theoretical Problems of Physicochemical Pharmacology, Russian Academy of Sciences, Moscow, Russia.; Department of Cell Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Physiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Maier NK,Ma J,Lampson MA,Cheeseman IM","Separase cleaves the kinetochore protein Meikin at the meiosis I/II transition","Dev. Cell","Developmental cell","2021","56","15","2192-2206.e8","Elsevier BV","2021-08-09","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2021.06.019;https://www.ncbi.nlm.nih.gov/pubmed/34331869;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8355204","10.1016/j.devcel.2021.06.019","34331869","PMC8355204","To generate haploid gametes, germ cells undergo two consecutive meiotic divisions requiring key changes to the cell division machinery. Here, we demonstrate that the protease separase rewires key cell division processes at the meiosis I/II transition by cleaving the meiosis-specific protein Meikin. Separase proteolysis does not inactivate Meikin but instead alters its function to create a distinct activity state. Full-length Meikin and the C-terminal Meikin separase cleavage product both localize to kinetochores, bind to Plk1 kinase, and promote Rec8 cleavage, but our results reveal distinct roles for these proteins in controlling meiosis. Mutations that prevent Meikin cleavage or that conditionally inactivate Meikin at anaphase I result in defective meiosis II chromosome alignment in mouse oocytes. Finally, as oocytes exit meiosis, C-Meikin is eliminated by APC/C-mediated degradation prior to the first mitotic division. Thus, multiple regulatory events irreversibly modulate Meikin activity during successive meiotic divisions to rewire the cell division machinery at two distinct transitions.","Meikin; Plk1; cohesin; kinetochore; meiosis; separase","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Department of Biology, School of Arts and Sciences, University of Pennsylvania, Philadelphia, PA 19104, USA.; Department of Biology, School of Arts and Sciences, University of Pennsylvania, Philadelphia, PA 19104, USA. Electronic address: lampson@sas.upenn.edu.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Sissoko GB,Tarasovetc EV,Marescal O,Grishchuk EL,Cheeseman IM","Higher-order protein assembly controls kinetochore formation","Nat. Cell Biol.","Nature cell biology","2024","26","1","45-56","","2024-01","1465-7392","1476-4679","http://dx.doi.org/10.1038/s41556-023-01313-7;https://www.ncbi.nlm.nih.gov/pubmed/38168769;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10842828","10.1038/s41556-023-01313-7","38168769","PMC10842828","To faithfully segregate chromosomes during vertebrate mitosis, kinetochore-microtubule interactions must be restricted to a single site on each chromosome. Prior work on pair-wise kinetochore protein interactions has been unable to identify the mechanisms that prevent outer kinetochore formation in regions with a low density of CENP-A nucleosomes. To investigate the impact of higher-order assembly on kinetochore formation, we generated oligomers of the inner kinetochore protein CENP-T using two distinct, genetically engineered systems in human cells. Although individual CENP-T molecules interact poorly with outer kinetochore proteins, oligomers that mimic centromeric CENP-T density trigger the robust formation of functional, cytoplasmic kinetochore-like particles. Both in cells and in vitro, each molecule of oligomerized CENP-T recruits substantially higher levels of outer kinetochore components than monomeric CENP-T molecules. Our work suggests that the density dependence of CENP-T restricts outer kinetochore recruitment to centromeres, where densely packed CENP-A recruits a high local concentration of inner kinetochore proteins.","","","Whitehead Institute for Biomedical Research, Cambridge, MA, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA.; Department of Physiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.; Department of Physiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. gekate@pennmedicine.upenn.edu.; Whitehead Institute for Biomedical Research, Cambridge, MA, USA. icheese@wi.mit.edu.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. icheese@wi.mit.edu.","en","Research Article",""
"Review","Gascoigne KE,Cheeseman IM","Kinetochore assembly: if you build it, they will come","Curr. Opin. Cell Biol.","Current opinion in cell biology","2011","23","1","102-108","Elsevier BV","2011-02","0955-0674","1879-0410","http://dx.doi.org/10.1016/j.ceb.2010.07.007;https://www.ncbi.nlm.nih.gov/pubmed/20702077;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2980799","10.1016/j.ceb.2010.07.007","20702077","PMC2980799","Accurate chromosome segregation requires the interaction of chromosomes with the microtubules from the mitotic spindle. This interaction is mediated by the macro-molecular kinetochore complex, which assembles only at the centromeric region of each chromosome. However, how this site is specified and how assembly of the kinetochore structure is regulated in coordination with cell cycle progression remains unclear. Recent studies have begun to shed light on the mechanisms underlying assembly of this complex structure.","","","Whitehead Institute for Biomedical Research, and Department of Biology, Massachusetts Institute of Technology, Nine Cambridge Center, Cambridge, MA 02142, United States. karengas@wi.mit.edu","en","Review",""
"Journal Article","Kiyomitsu T,Cheeseman IM","Chromosome- and spindle-pole-derived signals generate an intrinsic code for spindle position and orientation","Nat. Cell Biol.","Nature cell biology","2012","14","3","311-317","Springer Science and Business Media LLC","2012-02-12","1465-7392","1476-4679","http://dx.doi.org/10.1038/ncb2440;https://www.ncbi.nlm.nih.gov/pubmed/22327364;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3290711","10.1038/ncb2440","22327364","PMC3290711","Mitotic spindle positioning by cortical pulling forces defines the cell division axis and location, which is critical for proper cell division and development. Although recent work has identified developmental and extrinsic cues that regulate spindle orientation, the contribution of intrinsic signals to spindle positioning and orientation remains unclear. Here, we demonstrate that cortical force generation in human cells is controlled by distinct spindle-pole- and chromosome-derived signals that regulate cytoplasmic dynein localization. First, dynein exhibits a dynamic asymmetric cortical localization that is negatively regulated by spindle-pole proximity, resulting in spindle oscillations to centre the spindle within the cell. We find that this signal comprises the spindle-pole-localized polo-like kinase (Plk1), which regulates dynein localization by controlling the interaction between dynein-dynactin and its upstream cortical targeting factors NuMA and LGN. Second, a chromosome-derived RanGTP gradient restricts the localization of NuMA-LGN to the lateral cell cortex to define and maintain the spindle orientation axis. RanGTP acts in part through the nuclear localization sequence of NuMA to locally alter the ability of NuMA-LGN to associate with the cell cortex in the vicinity of chromosomes. We propose that these chromosome- and spindle-pole-derived gradients generate an intrinsic code to control spindle position and orientation.","","","Whitehead Institute, Nine Cambridge Center, Cambridge, Massachusetts 02142, USA.","en","Research Article",""
"Review","McKinley KL,Cheeseman IM","The molecular basis for centromere identity and function","Nat. Rev. Mol. Cell Biol.","Nature reviews. Molecular cell biology","2016","17","1","16-29","Springer Science and Business Media LLC","2016-01","1471-0072","1471-0080","http://dx.doi.org/10.1038/nrm.2015.5;https://www.ncbi.nlm.nih.gov/pubmed/26601620;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8603311","10.1038/nrm.2015.5","26601620","PMC8603311","The centromere is the region of the chromosome that directs its segregation in mitosis and meiosis. Although the functional importance of the centromere has been appreciated for more than 130 years, elucidating the molecular features and properties that enable centromeres to orchestrate chromosome segregation is an ongoing challenge. Most eukaryotic centromeres are defined epigenetically and require the presence of nucleosomes containing the histone H3 variant centromere protein A (CENP-A; also known as CENH3). Ongoing work is providing important molecular insights into the central requirements for centromere identity and propagation, and the mechanisms by which centromeres recruit kinetochores to connect to spindle microtubules.","","","Whitehead Institute and Department of Biology, MIT, Nine Cambridge Center, Cambridge, Massachusetts 02142, USA.","en","Review",""
"Journal Article","Perea-Resa C,Bury L,Cheeseman IM,Blower MD","Cohesin removal reprograms gene expression upon mitotic entry","Mol. Cell","Molecular cell","2020","78","1","127-140.e7","Elsevier BV","2020-04-02","1097-2765","1097-4164","http://dx.doi.org/10.1016/j.molcel.2020.01.023;https://www.ncbi.nlm.nih.gov/pubmed/32035037;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7178822","10.1016/j.molcel.2020.01.023","32035037","PMC7178822","As cells enter mitosis, the genome is restructured to facilitate chromosome segregation, accompanied by dramatic changes in gene expression. However, the mechanisms that underlie mitotic transcriptional regulation are unclear. In contrast to transcribed genes, centromere regions retain transcriptionally active RNA polymerase II (Pol II) in mitosis. Here, we demonstrate that chromatin-bound cohesin is necessary to retain elongating Pol II at centromeres. We find that WAPL-mediated removal of cohesin from chromosome arms during prophase is required for the dissociation of Pol II and nascent transcripts, and failure of this process dramatically alters mitotic gene expression. Removal of cohesin/Pol II from chromosome arms in prophase is important for accurate chromosome segregation and normal activation of gene expression in G1. We propose that prophase cohesin removal is a key step in reprogramming gene expression as cells transition from G2 through mitosis to G1.","RNA Pol II; WAPL; centromere; cohesin; mitotic transcription; prophase pathway","http://www.elsevier.com/open-access/userlicense/1.0/","Department of Molecular Biology, Massachusetts General Hospital, Boston, MA 02114, USA; Department of Genetics, Harvard Medical School, Boston, MA 02115, USA.; Whitehead Institute for Biomedical Research, 455 Main St., Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Department of Molecular Biology, Massachusetts General Hospital, Boston, MA 02114, USA; Department of Genetics, Harvard Medical School, Boston, MA 02115, USA. Electronic address: blower@molbio.mgh.harvard.edu.","en","Research Article",""
"Journal Article","Navarro AP,Cheeseman IM","Dynamic cell cycle-dependent phosphorylation modulates CENP-L-CENP-N centromere recruitment","Mol. Biol. Cell","Molecular biology of the cell","2022","33","10","ar87","American Society for Cell Biology (ASCB)","2022-09-01","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E22-06-0239;https://www.ncbi.nlm.nih.gov/pubmed/35830614;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9582625","10.1091/mbc.E22-06-0239","35830614","PMC9582625","The kinetochore is a macromolecular structure that is needed to ensure proper chromosome segregation during each cellular division. The kinetochore is assembled upon a platform of the 16-subunit constitutive centromere-associated network (CCAN), which is present at centromeres throughout the cell cycle. The nature and regulation of CCAN assembly, interactions, and dynamics needed to facilitate changing centromere properties and requirements remain to be fully elucidated. The CENP-LN complex is a CCAN component that displays unique cell cycle-dependent localization behavior, peaking in the S phase. Here, we demonstrate that phosphorylation of CENP-L and CENP-N controls CENP-LN complex formation and localization in a cell cycle-dependent manner. Mimicking constitutive phosphorylation of either CENP-L or CENP-N or simultaneously preventing phosphorylation of both proteins prevents CENP-LN localization and disrupts chromosome segregation. Our work suggests that cycles of phosphorylation and dephosphorylation are critical for CENP-LN complex recruitment and dynamics at kinetochores to enable cell cycle-dependent CCAN reorganization.","","","Whitehead Institute for Biomedical Research, Cambridge, MA 02142.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142.","en","Research Article",""
"Journal Article","Navarro AP,Cheeseman IM","Identification of a Golgi-localized peptide reveals a minimal Golgi-targeting motif","Mol. Biol. Cell","Molecular biology of the cell","2022","33","12","ar110","","2022-10-01","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E22-03-0091;https://www.ncbi.nlm.nih.gov/pubmed/35921174;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9635300","10.1091/mbc.E22-03-0091","35921174","PMC9635300","Prior work has identified signal sequences and motifs that are necessary and sufficient to target proteins to specific subcellular regions and organelles such as the plasma membrane, nucleus, endoplasmic reticulum, and mitochondria. In contrast, minimal sequence motifs that are sufficient for Golgi localization remain largely elusive. In this work, we identified a 37-amino acid alternative open reading frame (altORF) within the mRNA of the centromere protein CENP-R. This altORF peptide localizes specifically to the cytoplasmic surface of the Golgi apparatus. Through mutational analysis, we identify a minimal 10-amino acid sequence and a critical cysteine residue that are necessary and sufficient for Golgi localization. Pharmacological perturbations suggest that this peptide undergoes lipid modification to promote its localization. Together, our work defines a minimal sequence that is sufficient for Golgi targeting and provide a valuable Golgi marker for live cell imaging.","","","Whitehead Institute for Biomedical Research, Cambridge, MA 02142.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142.","en","Research Article",""
"Journal Article","Amano M,Suzuki A,Hori T,Backer C,Okawa K,Cheeseman IM,Fukagawa T","The CENP-S complex is essential for the stable assembly of outer kinetochore structure","J. Cell Biol.","The journal of cell biology","2009","186","2","173-182","Rockefeller University Press","2009-07-27","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.200903100;https://www.ncbi.nlm.nih.gov/pubmed/19620631;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2717651","10.1083/jcb.200903100","19620631","PMC2717651","The constitutive centromere-associated network (CCAN) proteins are central to kinetochore assembly. To define the molecular architecture of this critical kinetochore network, we sought to determine the full complement of CCAN components and to define their relationships. This work identified a centromere protein S (CENP-S)-containing subcomplex that includes the new constitutive kinetochore protein CENP-X. Both CENP-S- and CENP-X-deficient chicken DT40 cells are viable but show abnormal mitotic behavior based on live cell analysis. Human HeLa cells depleted for CENP-X also showed mitotic errors. The kinetochore localization of CENP-S and -X is abolished in CENP-T- or CENP-K-deficient cells, but reciprocal experiments using CENP-S-deficient cells did not reveal defects in the localization of CCAN components. However, CENP-S- and CENP-X-deficient cells show a significant reduction in the size of the kinetochore outer plate. In addition, we found that intrakinetochore distance was increased in CENP-S- and CENP-X-deficient cells. These results suggest that the CENP-S complex is essential for the stable assembly of the outer kinetochore.","","","Department of Molecular Genetics, National Institute of Genetics, The Graduate University for Advanced Studies, Mishima, Shizuoka 411-8540, Japan.","en","Research Article",""
"Journal Article","Rago F,Gascoigne KE,Cheeseman IM","Distinct organization and regulation of the outer kinetochore KMN network downstream of CENP-C and CENP-T","Curr. Biol.","Current biology: CB","2015","25","5","671-677","Elsevier BV","2015-03-02","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2015.01.059;https://www.ncbi.nlm.nih.gov/pubmed/25660545;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4348146","10.1016/j.cub.2015.01.059","25660545","PMC4348146","The kinetochore provides a vital connection between chromosomes and spindle microtubules [1, 2]. Defining the molecular architecture of the core kinetochore components is critical for understanding the mechanisms by which the kinetochore directs chromosome segregation. The KNL1/Mis12 complex/Ndc80 complex (KMN) network acts as the primary microtubule-binding interface at kinetochores [3] and provides a platform to recruit regulatory proteins [4]. Recent work found that the inner kinetochore components CENP-C and CENP-T act in parallel to recruit the KMN network to kinetochores [5-8]. However, due to the presence of these dual pathways, it has not been possible to distinguish differences in the nature of kinetochore assembly downstream of CENP-C or CENP-T. Here, we separated these pathways by targeting CENP-C and CENP-T independently to an ectopic chromosomal locus in human cells. Our work reveals that the organization of the KMN network components downstream of CENP-C and CENP-T is distinct. CENP-C recruits the Ndc80 complex through its interactions with KNL1 and the Mis12 complex. In contrast, CENP-T directly interacts with Ndc80, which in turn promotes KNL1/Mis12 complex recruitment through a separate region on CENP-T, resulting in functional relationships for KMN network localization that are inverted relative to the CENP-C pathway. We also find that distinct regulatory paradigms control the assembly of these pathways, with Aurora B kinase promoting KMN network recruitment to CENP-C and cyclin-dependent kinase (CDK) regulating KMN network recruitment to CENP-T. This work reveals unexpected complexity for the architecture and regulation of the core components of the kinetochore-microtubule interface.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research and Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research and Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Chen C,Whitney IP,Banerjee A,Sacristan C,Sekhri P,Kern DM,Fontan A,Kops GJPL,Tyson JJ,Cheeseman IM,Joglekar AP","Ectopic activation of the spindle assembly checkpoint signaling cascade reveals its biochemical design","Curr. Biol.","Current biology: CB","2019","29","1","104-119.e10","Elsevier BV","2019-01-07","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2018.11.054;https://www.ncbi.nlm.nih.gov/pubmed/30595520;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6324986","10.1016/j.cub.2018.11.054","30595520","PMC6324986","Switch-like activation of the spindle assembly checkpoint (SAC) is critical for accurate chromosome segregation and for cell division in a timely manner. To determine the mechanisms that achieve this, we engineered an ectopic, kinetochore-independent SAC activator: the ""eSAC."" The eSAC stimulates SAC signaling by artificially dimerizing Mps1 kinase domain and a cytosolic KNL1 phosphodomain, the kinetochore signaling scaffold. By exploiting variable eSAC expression in a cell population, we defined the dependence of the eSAC-induced mitotic delay on eSAC concentration in a cell to reveal the dose-response behavior of the core signaling cascade of the SAC. These quantitative analyses and subsequent mathematical modeling of the dose-response data uncover two crucial properties of the core SAC signaling cascade: (1) a cellular limit on the maximum anaphase-inhibitory signal that the cascade can generate due to the limited supply of SAC proteins and (2) the ability of the KNL1 phosphodomain to produce the anaphase-inhibitory signal synergistically, when it recruits multiple SAC proteins simultaneously. We propose that these properties together achieve inverse, non-linear scaling between the signal output per kinetochore and the number of signaling kinetochores. When the number of kinetochores is low, synergistic signaling by KNL1 enables each kinetochore to produce a disproportionately strong signal output. However, when many kinetochores signal concurrently, they compete for a limited supply of SAC proteins. This frustrates synergistic signaling and lowers their signal output. Thus, the signaling activity of unattached kinetochores will adapt to the changing number of signaling kinetochores to enable the SAC to approximate switch-like behavior.","cell signaling; eSAC; kinetochore; mitosis; spindle assembly checkpoint","http://www.elsevier.com/open-access/userlicense/1.0/","Department of Biophysics, University of Michigan, Ann Arbor, MI 48109, USA.; Whitehead Institute for Biomedical Research and Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA.; Department of Biological Sciences, Virginia Polytechnic Institute & State University, Blacksburg, VA 24061, USA.; Hubrecht Institute - KNAW (Royal Netherlands Academy of Arts and Sciences), and Molecular Cancer Research, University Medical Center Utrecht, Utrecht, the Netherlands.; Cell & Developmental Biology, University of Michigan Medical School, Ann Arbor, MI 48109, USA.; Department of Biophysics, University of Michigan, Ann Arbor, MI 48109, USA; Cell & Developmental Biology, University of Michigan Medical School, Ann Arbor, MI 48109, USA. Electronic address: ajitj@umich.edu.","en","Research Article",""
"Commentary","Navarro AP,Cheeseman IM","Chromosome segregation: Evolving a plastic chromosome-microtubule interface","Curr. Biol.","Current biology: CB","2020","30","4","R174-R177","Elsevier BV","2020-02-24","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2019.12.058;https://www.ncbi.nlm.nih.gov/pubmed/32097646","10.1016/j.cub.2019.12.058","32097646","","Despite a conserved requirement in mediating chromosome segregation, kinetochores display remarkable plasticity in their structure and composition. New work in holocentric insect species highlights the molecular rewiring that occurs when key structural components of the kinetochore are lost and centromere structure is changed.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, and Department of Biology, Massachusetts Institute of Technology, 455 Main Street, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, and Department of Biology, Massachusetts Institute of Technology, 455 Main Street, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Commentary",""
"Journal Article","Tarasovetc EV,Allu PK,Wimbish RT,DeLuca JG,Cheeseman IM,Black BE,Grishchuk EL","Permitted and restricted steps of human kinetochore assembly in mitotic cell extracts","Mol. Biol. Cell","Molecular biology of the cell","2021","32","13","1241-1255","American Society for Cell Biology (ASCB)","2021-06-15","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E20-07-0461;https://www.ncbi.nlm.nih.gov/pubmed/33956511;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8351545","10.1091/mbc.E20-07-0461","33956511","PMC8351545","Mitotic kinetochores assemble via the hierarchical recruitment of numerous cytosolic components to the centromere region of each chromosome. However, how these orderly and localized interactions are achieved without spurious macromolecular assemblies forming from soluble kinetochore components in the cell cytosol remains poorly understood. We developed assembly assays to monitor the recruitment of green fluorescent protein-tagged recombinant proteins and native proteins from human cell extracts to inner kinetochore components immobilized on microbeads. In contrast to prior work in yeast and Xenopus egg extracts, we find that human mitotic cell extracts fail to support de novo assembly of microtubule-binding subcomplexes. A subset of interactions, such as those between CENP-A-containing nucleosomes and CENP-C, are permissive under these conditions. However, the subsequent phospho-dependent binding of the Mis12 complex is less efficient, whereas recruitment of the Ndc80 complex is blocked, leading to weak microtubule-binding activity of assembled particles. Using molecular variants of the Ndc80 complex, we show that auto-inhibition of native Ndc80 complex restricts its ability to bind to the CENP-T/W complex, whereas inhibition of the Ndc80 microtubule binding is driven by a different mechanism. Together, our work reveals regulatory mechanisms that guard against the spurious formation of cytosolic microtubule-binding kinetochore particles.","","","Department of Physiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104.; Department of Biochemistry and Biophysics, Penn Center for Genome Integrity, Epigenetics Institute, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104.; Department of Biochemistry and Molecular Biology, Colorado State University, Fort Collins, CO 80523.; Whitehead Institute for Biomedical Research, Cambridge, MA 02142.","en","Research Article",""
"Review","Cheeseman IM","The kinetochore","Cold Spring Harb. Perspect. Biol.","Cold Spring Harbor perspectives in biology","2014","6","7","a015826","Cold Spring Harbor Laboratory","2014-07-01","1943-0264","","http://dx.doi.org/10.1101/cshperspect.a015826;https://www.ncbi.nlm.nih.gov/pubmed/24984773;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4067989","10.1101/cshperspect.a015826","24984773","PMC4067989","A critical requirement for mitosis is the distribution of genetic material to the two daughter cells. The central player in this process is the macromolecular kinetochore structure, which binds to both chromosomal DNA and spindle microtubule polymers to direct chromosome alignment and segregation. This review will discuss the key kinetochore activities required for mitotic chromosome segregation, including the recognition of a specific site on each chromosome, kinetochore assembly and the formation of kinetochore-microtubule connections, the generation of force to drive chromosome segregation, and the regulation of kinetochore function to ensure that chromosome segregation occurs with high fidelity.","","","Whitehead Institute and Department of Biology, MIT Nine Cambridge Center, Cambridge, Massachusetts 02142.","en","Review",""
"Commentary","Monda JK,Cheeseman IM","Chromosome segregation: A spatial code to correct kinetochore-microtubule attachments","Curr. Biol.","Current biology: CB","2015","25","14","R601-3","Elsevier BV","2015-07-20","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2015.05.056;https://www.ncbi.nlm.nih.gov/pubmed/26196485","10.1016/j.cub.2015.05.056","26196485","","Erroneous kinetochore-microtubule interactions must be detected and corrected before a cell enters anaphase to prevent chromosome mis-segregation. Two new studies describe an Aurora A-mediated error correction mechanism based on the spatial position of a chromosome within the mitotic spindle.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Cambridge, MA, USA; Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA, USA; Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Commentary",""
"Journal Article","Monda JK,Cheeseman IM","Dynamic regulation of dynein localization revealed by small molecule inhibitors of ubiquitination enzymes","Open Biol.","Open biology","2018","8","9","180095","The Royal Society","2018-09-26","2046-2441","","http://dx.doi.org/10.1098/rsob.180095;https://www.ncbi.nlm.nih.gov/pubmed/30257893;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6170511","10.1098/rsob.180095","30257893","PMC6170511","Cytoplasmic dynein is a minus-end-directed microtubule-based motor that acts at diverse subcellular sites. During mitosis, dynein localizes simultaneously to the mitotic spindle, spindle poles, kinetochores and the cell cortex. However, it is unclear what controls the relative targeting of dynein to these locations. As dynein is heavily post-translationally modified, we sought to test a role for these modifications in regulating dynein localization. We find that dynein rapidly and strongly accumulates at mitotic spindle poles following treatment with NSC697923, a small molecule that inhibits the ubiquitin E2 enzyme, Ubc13, or treatment with PYR-41, a ubiquitin E1 inhibitor. Subsets of dynein regulators such as Lis1, ZW10 and Spindly accumulate at the spindle poles, whereas others do not, suggesting that NSC697923 differentially affects specific dynein populations. We additionally find that dynein relocalization induced by NSC697923 or PYR-41 can be suppressed by simultaneous treatment with the non-selective deubiquitinase inhibitor, PR-619. However, we did not observe altered dynein localization following treatment with the selective E1 inhibitor, TAK-243. Although it is possible that off-target effects of NSC697923 and PYR-41 are responsible for the observed changes in dynein localization, the rapid relocalization upon drug treatment highlights the highly dynamic nature of dynein regulation during mitosis.","NSC697923; PYR-41; dynein; microtubules; mitosis; ubiquitin","","Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA icheese@wi.mit.edu.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.","en","Research Article",""
"Commentary","Kern DM,Cheeseman IM","Kinetochore structure: pulling answers from yeast","Curr. Biol.","Current biology: CB","2012","22","19","R842-4","Elsevier BV","2012-10-09","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2012.08.001;https://www.ncbi.nlm.nih.gov/pubmed/23058804","10.1016/j.cub.2012.08.001","23058804","","Despite the identification of multiple kinetochore proteins, their structure and organization has remained unclear. New work uses electron microscopy to visualize isolated budding yeast kinetochore particles and reveal the kinetochore structure on microtubules.","","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, and Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.","en","Commentary",""
